tweet_id retweet_count favorite_count
788070120937619456 3806 0
788039637453406209 1481 6659
787810552592695296 3398 9397
787717603741622272 3097 11049
787397959788929025 3157 11746
787322443945877504 1942 8435
787111942498508800 7473 0
786963064373534720 8912 28779
786729988674449408 2692 0
786709082849828864 6781 19697
786664955043049472 2865 11551
786595970293370880 3451 10180
786363235746385920 3905 11806
786286427768250368 3185 8635
786233965241827333 5321 16583
786051337297522688 171 1555
786036967502913536 7878 0
785927819176054784 3525 12293
785872687017132033 2028 7236
785639753186217984 2467 8451
785533386513321988 2238 9858
785515384317313025 1403 6604
785264754247995392 1826 7858
785170936622350336 5411 13091
784826020293709826 3583 10958
784517518371221505 2823 9705
784431430411685888 1424 6154
784183165795655680 8978 21750
784057939640352768 12408 32348
783839966405230592 12028 32525
783821107061198850 2191 7965
783695101801398276 3581 11291
783466772167098368 2508 9137
783391753726550016 6138 18258
783347506784731136 6244 0
783334639985389568 13050 31615
783085703974514689 2469 8802
782969140009107456 8186 26069
782747134529531904 1553 8062
782722598790725632 6003 18645
782598640137187329 2090 8407
782305867769217024 6187 18012
782021823840026624 6943 0
781955203444699136 3736 11994
781661882474196992 3004 11285
781655249211752448 1245 4324
781524693396357120 6161 22404
781308096455073793 2829 7711
781251288990355457 2331 9107
781163403222056960 3028 10543
780931614150983680 8157 23358
780858289093574656 2214 7769
780800785462489090 1443 5950
780601303617732608 3696 13040
780543529827336192 1920 6805
780496263422808064 4126 0
780476555013349377 129 0
780459368902959104 1181 5697
780192070812196864 2479 9401
780092040432480260 2554 0
780074436359819264 5551 13225
779834332596887552 7878 20532
779377524342161408 3448 9524
779124354206535695 20413 0
779123168116150273 4041 12743
779056095788752897 5022 15973
778990705243029504 8085 21620
778774459159379968 11053 0
778764940568104960 406 925
778748913645780993 1479 7443
778650543019483137 1655 6232
778624900596654080 1122 5018
778408200802557953 4829 14723
778396591732486144 13573 0
778383385161035776 1220 6297
778286810187399168 3677 11213
778039087836069888 2922 9150
778027034220126208 1802 7080
777953400541634568 3899 0
777885040357281792 1820 6856
777684233540206592 3266 12105
777641927919427584 4712 0
777621514455814149 2763 9458
777189768882946048 4801 15432
776819012571455488 15214 0
776813020089548800 1339 5261
776477788987613185 3111 9552
776249906839351296 10154 0
776218204058357768 17688 32371
776201521193218049 2791 10337
776113305656188928 4820 12668
776088319444877312 167 1976
775898661951791106 17412 0
775842724423557120 2969 12615
775733305207554048 4441 14908
775729183532220416 5062 13912
775364825476165632 3306 8009
775350846108426240 4338 10940
775085132600442880 5233 16743
774757898236878852 1960 9193
774639387460112384 1922 7230
774314403806253056 6183 23430
773985732834758656 4303 11568
773922284943896577 1915 6885
773704687002451968 1815 7102
773670353721753600 1435 5730
773547596996571136 6820 23745
